context,question,golden_answer,our_answer_wo_context,our_answer_w_context
"Croatian War of Independence Part of the Yugoslav Wars Clockwise from top left : the central street of Dubrovnik , the Stradun , in ruins during the Siege of Dubrovnik ; the damaged Vukovar water tower , a symbol of the early conflict , flying the Flag of Croatia ; soldiers of the Croatian Army preparing to destroy a Serbian tank ; the Vukovar Memorial Cemetery ; a Serbian T - 55 tank destroyed on the road to Drniš Date 31 March 1991 -- 12 November 1995 ( 4 years , 7 months , 1 week and 5 days ) Location Croatia Result Croatian victory Croatian forces regain control over most of RSK - held Croatian territory ; Croatian forces advance into Bosnia and Herzegovina which leads to the eventual end of the Bosnian War . Territorial changes The Croatian government gains control over the vast majority of Croatian territory previously held by rebel Serbs , with the remainder coming under UNTAES control . Belligerents Croatia Republic of Bosnia and Herzegovina ( 1994 -- 95 ) Republic of Serbian Krajina Yugoslav People 's Army ( JNA ) ( controlled by SR Serbia ) ( 1991 -- 92 ) Republika Srpska ( 1992 -- 95 ) Commanders and leaders Franjo Tuđman Gojko Šušak Anton Tus Janko Bobetko Zvonimir Červenko Petar Stipetić Atif Dudaković Slobodan Milošević Milan Martić Milan Babić Goran Hadžić Mile Mrkšić Veljko Kadijević Jovica Stanišić Franko Simatović Radovan Karadžić Ratko Mladić Strength Croatia 70,000 ( 1991 ) 200,000 ( 1995 ) JNA 145,000 ( 1991 ) RSK 50,000 ( 1995 ) Casualties and losses Croatia 6,788 -- 8,784 soldiers and 4,508 -- 7,186 civilians killed or missing 220,000 displaced RSK 4,177 soldiers and 2,650 civilians killed or missing 300,000 displaced JNA 1,279 soldiers killed",who won the war between croatia and serbia,Croatia,Croatia won the war.,Croatia won the war.
"The DTV ( an abbreviation of digital television , also called digital broadcast ) transition in the United States was the switchover from analog ( the traditional method of transmitting television signals ) to exclusively digital broadcasting of free over-the - air television programming . According to David Rehr , then president and CEO of the National Association of Broadcasters , this transition represented `` the most significant advancement of television technology since color TV was introduced . '' For full - power TV stations , the transition went into effect on June 12 , 2009 , with stations ending regular programming on their analog signals no later than 11 : 59pm local time that day .",when were tvs required to have digital tuners,"June 12 , 2009",Digital tuners required in 2007.,I do not know.
"Interracial marriage is a form of marriage outside a specific social group ( exogamy ) involving spouses who belong to different socially - defined races or racialized ethnicities . In the past , it was outlawed in the United States of America and in South Africa as miscegenation . It became legal in the entire United States in 1967 when the Supreme Court of the United States ruled in the case Loving v. Virginia that race - based restrictions on marriages violated the Equal Protection Clause of the United States Constitution .",when did interracial marriage become legal in all 50 states,1967,Roe v. Wade,1967
"Boardwalk Empire Genre Crime drama Period drama Serial drama Created by Terence Winter Based on Boardwalk Empire : The Birth , High Times , and Corruption of Atlantic City by Nelson Johnson Starring Steve Buscemi Michael Pitt Kelly Macdonald Michael Shannon Shea Whigham Aleksa Palladino Michael Stuhlbarg Stephen Graham Vincent Piazza Paz de la Huerta Michael Kenneth Williams Anthony Laciura Paul Sparks Dabney Coleman Jack Huston Gretchen Mol Charlie Cox Bobby Cannavale Ron Livingston Jeffrey Wright Ben Rosenfield Theme music composer The Brian Jonestown Massacre Opening theme `` Straight Up and Down '' Country of origin United States Original language ( s ) English No. of seasons 5 No. of episodes 56 ( list of episodes ) Production Executive producer ( s ) Terence Winter Martin Scorsese Mark Wahlberg Tim Van Patten Howard Korder Stephen Levinson Production location ( s ) New York City Editor ( s ) Kate Stanford Tim Streeto Camera setup Single - camera Running time 50 -- 60 minutes Production company ( s ) HBO Entertainment Leverage Entertainment Closest to the Hole Productions Sikelia Productions Cold Front Productions Distributor HBO Enterprises Release Original network HBO Original release September 19 , 2010 ( 2010 - 09 - 19 ) -- October 26 , 2014 ( 2014 - 10 - 26 ) External links Website",who wrote the theme song for boardwalk empire,The Brian Jonestown Massacre,Steve Earle,The Brian Jonestown Massacre
"The Five Crowns , also known as the Five Heavenly Crowns , is a concept in Christian theology that pertains to the five crowns that individuals can receive after the Last Judgment . These are the Crown of Life , the Incorruptible Crown , the Crown of Righteousness , the Crown of Glory , and the Crown of Exultation . In the Greek language , stephanos ( στέφανος ) is the word for crown and is translated as such in the Bible , especially in versions descending from the King James Version . These five rewards can be earned by believers , according to the New Testament , as `` rewards for faithfulness in this life '' .",what are the five crown in the bible,"Crown of Life , the Incorruptible Crown , the Crown of Righteousness , the Crown of Glory , and the Crown of Exultation","1. Solomon's Crown
2. David's Crown
3. Uzziah's Crown
4. Manasseh's Crown
5. Hezekiah's","The five crowns in the Bible are:

1. Crown of Life
2. Incorruptible Crown
3. Crown of Righteousness
4. Crown"
"I 'm a Celebrity ... Get Me Out of Here ! Genre Reality television , Survival , Game show Created by Granada Television ( now part of ITV Studios as ITV Granada ) Developed by LWT James Allen , Natalka Znak , Brent Baker and Stewart Morris . Directed by Ian Hamilton ( 2002 ) Chris Power ( 2003 -- ) Presented by Anthony McPartlin Declan Donnelly Country of origin United Kingdom Original language ( s ) English No. of series 17 No. of episodes 182 Production Executive producer ( s ) Richard Cowles Chris Brogden Becca Walker Location ( s ) Gold Coast , Queensland , Australia Camera setup Multiple - camera setup Running time 60 -- 120 mins ( including adverts ) Production company ( s ) LWT / Granada Television ( 2002 ) Granada Productions ( 2002 -- 05 ) ITV Productions ( 2006 -- 08 ) ITV Studios ( 2009 -- ) Release Original network ITV Picture format 16 : 9 ( 2002 -- 09 ) 1080i HDTV ( 2010 -- ) Audio format Stereo Original release 25 August 2002 ( 2002 - 08 - 25 ) -- present Chronology Related shows I 'm a Celebrity : Extra Camp External links Website www.itv.com/celebrity",who has presented i'm a celebrity get me outta here now,Anthony McPartlin Declan Donnelly,Ant & Dec,Anthony McPartlin and Declan Donnelly.
"The Battle of the Little Bighorn Part of The Great Sioux War of 1876 The Custer Fight by Charles Marion Russell Date June 25 -- 26 , 1876 Location Near Little Bighorn River , Crow Indian Reservation , Big Horn County , Montana , U.S. 45 ° 33 ′ 54 '' N 107 ° 25 ′ 44 '' W ﻿ / ﻿ 45.56500 ° N 107.42889 ° W ﻿ / 45.56500 ; - 107.42889 ﻿ ( The Battle of Little BigHorn ) Coordinates : 45 ° 33 ′ 54 '' N 107 ° 25 ′ 44 '' W ﻿ / ﻿ 45.56500 ° N 107.42889 ° W ﻿ / 45.56500 ; - 107.42889 ﻿ ( The Battle of Little BigHorn ) Result Lakota , Northern Cheyenne and Arapaho victory Belligerents Lakota Dakota Northern Cheyenne Arapaho United States Crow scouts Arikara scouts Commanders and leaders Sitting Bull Crazy Horse Chief Gall Lame White Man † Two Moon George A. Custer † Marcus Reno Frederick Benteen Myles Keogh † James Calhoun † Units involved Irregular military 7th Cavalry Regiment Strength 2,500 warriors ~ 700 cavalrymen and scouts Casualties and losses 31 ( or to 130 -- 300 ) killed Up to 160 wounded 268 killed 55 wounded ( 6 of whom later died of wounds ) 10 Non-combatant natives killed Little Big Horn Battlefield Location within Montana",who won the battle of the little bighorn,"Lakota , Northern Cheyenne and Arapaho",Custer's forces lost.,"The Lakota, Northern Cheyenne, and Arapaho won."
"`` Take My Hand , Precious Lord '' ( a.k.a. `` Precious Lord , Take My Hand '' ) is a gospel song . The lyrics were written by the Rev. Thomas A. Dorsey , who also adapted the melody .",who wrote the song take my hand precious lord,the Rev. Thomas A. Dorsey,"""Take My Hand, Precious Lord"" - Thomas A. Dorsey",Rev. Thomas A. Dorsey
"The Chauri Chaura incident occurred at Chauri Chaura in the Gorakhpur district of the United Province , ( modern Uttar Pradesh ) in British India on 5 February 1922 , when a large group of protesters , participating in the Non-cooperation movement , clashed with police , who opened fire . In retaliation the demonstrators attacked and set fire to a police station , killing all of its occupants . The incident led to the deaths of three civilians and 22 or 23 policemen . Mahatma Gandhi , who was strictly against violence , halted the Non-cooperation Movement on the national level on 12 February 1922 , as a direct result of this incident .",the chauri chaura incident caused the end of this movement,"the Non-cooperation movement ,",Chauri Chaura incident led to the end of the Non-Cooperation Movement.,"No, it halted."
"Nigeria Nickname ( s ) Super Eagles Association Nigeria Football Federation Confederation CAF ( Africa ) Sub-confederation WAFU ( West Africa ) Head coach Gernot Rohr Captain John Obi Mikel Most caps Vincent Enyeama ( 101 ) Joseph Yobo ( 101 ) Top scorer Rashidi Yekini ( 37 ) Home stadium Abuja National Stadium FIFA code NGA First colours Second colours FIFA ranking Current 47 5 ( 12 April 2018 ) Highest 5 ( April 1994 ) Lowest 82 ( November 1999 ) Elo ranking Current 43 ( 8 April 2018 ) Highest 15 ( 31 May 2004 ) Lowest 72 ( 27 December 1964 ) First international Sierra Leone 0 -- 2 Nigeria ( Freetown , Sierra Leone ; 8 October 1949 ) Biggest win Nigeria 10 -- 1 Dahomey ( Lagos , Nigeria ; 28 November 1959 ) Biggest defeat Gold Coast and British Togoland 7 -- 0 Nigeria ( Accra , Gold Coast ; 1 June 1955 ) World Cup Appearances 6 ( first in 1994 ) Best result Round of 16 , 1994 , 1998 and 2014 Africa Cup of Nations Appearances 17 ( first in 1963 ) Best result Champions , 1980 , 1994 and 2013 African Nations Championship Appearances 3 ( first in 2014 ) Best result Runners up , 2018 Confederations Cup Appearances 2 ( first in 1995 ) Best result Fourth Place , 1995",who is the current coach of the nigerian super eagles,Gernot Rohr,I couldn't find the most recent information on the Nigerian Super Eagles coach.,Gernot Rohr
"In project management , a project charter , project definition , or project statement is a statement of the scope , objectives , and participants in a project . It provides a preliminary delineation of roles and responsibilities , outlines the project objectives , identifies the main stakeholders , and defines the authority of the project manager . It serves as a reference of authority for the future of the project . The terms of reference are usually part of the project charter .",what needs to be in a project charter,"scope , objectives , and participants","Here's a list of essential items to include in a project charter:

1. Project name
2. Project description
3. Business case
4. Project objectives
","1. Scope
2. Objectives
3. Participants
4. Roles and responsibilities
5. Main stakeholders
6. Authority of the project manager
7."
"In Catholicism , the Miracle of Lanciano is a Eucharistic miracle purported to have occurred in the eighth century in the city of Lanciano , Italy . According to tradition , a monk who had doubts about the real presence of Christ in the Eucharist found , when he said the words of consecration at Mass , that the bread and wine changed into flesh and blood . The Catholic Church officially claims the miracle as authentic .",eucharistic miracle in lanciano italy in 750 a.d,Miracle of Lanciano,"Lanciano Eucharistic Miracle: 

- Location: Lanciano, Italy
- Date: 750 AD",750 A.D.
"Over the 140 years of Major League Baseball history , and over 210,000 games played , there have been 23 official perfect games by the current definition . No pitcher has ever thrown more than one . The perfect game thrown by Don Larsen in game 5 of the 1956 World Series is the only postseason perfect game in major league history and one of only two postseason no - hitters . The first two major league perfect games , and the only two of the premodern era , were thrown in 1880 , five days apart . The most recent perfect game was thrown on August 15 , 2012 , by Félix Hernández of the Seattle Mariners . There were three perfect games in 2012 ; the only other year of the modern era in which as many as two were thrown was 2010 . By contrast , there have been spans of 23 and 33 consecutive seasons in which not a single perfect game was thrown . Though two perfect - game bids have gone into extra innings , no extra-inning game has ever been completed to perfection .",how many major league pitchers have thrown a perfect game,23,There have been 23 perfect games in Major League Baseball history.,23.
